ticker,entry_date,weekly_expiry,monthly_expiry,slippage_pct,fixed_cost_per_cycle,gross_pnl,net_pnl,raw_close_pnl_no_slippage
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.0,240.0,1162.5,922.5,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.0,320.0,1162.5,842.5,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.25,0.0,945.3562500000062,945.3562500000062,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.25,80.0,945.3562500000062,865.3562500000062,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.25,160.0,945.3562500000062,785.3562500000062,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.25,240.0,945.3562500000062,705.3562500000062,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.25,320.0,945.3562500000062,625.3562500000062,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.5,0.0,728.2125000000051,728.2125000000051,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.5,80.0,728.2125000000051,648.2125000000051,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.5,160.0,728.2125000000051,568.2125000000051,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.5,240.0,728.2125000000051,488.2125000000051,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.5,320.0,728.2125000000051,408.2125000000051,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.75,0.0,511.0687499999967,511.0687499999967,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.75,80.0,511.0687499999967,431.0687499999967,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.75,160.0,511.0687499999967,351.0687499999967,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.75,240.0,511.0687499999967,271.0687499999967,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,0.75,320.0,511.0687499999967,191.06874999999673,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,1.0,0.0,293.92499999999745,293.92499999999745,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,1.0,80.0,293.92499999999745,213.92499999999745,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,1.0,160.0,293.92499999999745,133.92499999999745,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,1.0,240.0,293.92499999999745,53.92499999999745,1162.5
NIFTY,2025-12-24,2025-12-30,2025-12-30,1.0,320.0,293.92499999999745,-26.075000000002547,1162.5
NIFTY,2025-12-31,2026-01-06,2026-01-27,0.0,0.0,2941.9000000000037,2941.9000000000037,2941.9000000000037
NIFTY,2025-12-31,2026-01-06,2026-01-27,0.0,80.0,2941.9000000000037,2861.9000000000037,2941.9000000000037
NIFTY,2025-12-31,2026-01-06,2026-01-27,0.0,160.0,2941.9000000000037,2781.9000000000037,2941.9000000000037
NIFTY,2025-12-31,2026-01-06,2026-01-27,0.0,240.0,2941.9000000000037,2701.9000000000037,2941.9000000000037
