ticker,leg,side,option_type,expiry,strike,entry_date,weekly_expiry,monthly_expiry,scheduled_entry_date,spot,pe_atm,ce_atm,leg4_itm_strikes,spot_timestamp,entry_timestamp,entry_close,exit_timestamp,exit_close,entry_available,exit_available
SENSEX,L1,BUY,PE,2025-12-24,85200.0,2025-12-12,2025-12-18,2025-12-24,2025-12-12,85234.93,85200.0,85300.0,1,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,420.0,2025-12-18 15:15:00+05:30,735.0,True,True
SENSEX,L2,SELL,PE,2025-12-18,85600.0,2025-12-12,2025-12-18,2025-12-24,2025-12-12,85234.93,85200.0,85300.0,1,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,522.5,2025-12-18 15:15:00+05:30,1118.05,True,True
SENSEX,L3,BUY,CE,2025-12-18,85300.0,2025-12-12,2025-12-18,2025-12-24,2025-12-12,85234.93,85200.0,85300.0,1,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,450.85,2025-12-18 15:15:00+05:30,0.1,True,True
SENSEX,L4,SELL,CE,2025-12-24,85200.0,2025-12-12,2025-12-18,2025-12-24,2025-12-12,85234.93,85200.0,85300.0,1,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,765.55,2025-12-18 15:15:00+05:30,156.85,True,True
SENSEX,L1,BUY,PE,2025-12-24,84900.0,2025-12-19,2025-12-24,2025-12-24,2025-12-19,84995.89,84900.0,85000.0,1,2025-12-19 09:30:00+05:30,2025-12-19 09:30:00+05:30,284.1,2025-12-24 15:15:00+05:30,0.1,True,True
SENSEX,L2,SELL,PE,2025-12-24,85300.0,2025-12-19,2025-12-24,2025-12-24,2025-12-19,84995.89,84900.0,85000.0,1,2025-12-19 09:30:00+05:30,2025-12-19 09:30:00+05:30,480.7,2025-12-24 15:15:00+05:30,0.15,True,True
SENSEX,L3,BUY,CE,2025-12-24,85000.0,2025-12-19,2025-12-24,2025-12-24,2025-12-19,84995.89,84900.0,85000.0,1,2025-12-19 09:30:00+05:30,2025-12-19 09:30:00+05:30,415.45,2025-12-24 15:15:00+05:30,425.95,True,True
SENSEX,L4,SELL,CE,2025-12-24,84900.0,2025-12-19,2025-12-24,2025-12-24,2025-12-19,84995.89,84900.0,85000.0,1,2025-12-19 09:30:00+05:30,2025-12-19 09:30:00+05:30,471.5,2025-12-24 15:15:00+05:30,525.15,True,True
SENSEX,L1,BUY,PE,2026-01-29,85300.0,2025-12-26,2026-01-01,2026-01-29,2025-12-26,85344.02,85300.0,85400.0,1,2025-12-26 09:30:00+05:30,2025-12-26 09:30:00+05:30,653.95,2026-01-01 15:15:00+05:30,592.85,True,True
SENSEX,L2,SELL,PE,2026-01-01,85700.0,2025-12-26,2026-01-01,2026-01-29,2025-12-26,85344.02,85300.0,85400.0,1,2025-12-26 09:30:00+05:30,2025-12-26 09:30:00+05:30,515.15,2026-01-01 15:15:00+05:30,504.55,True,True
SENSEX,L3,BUY,CE,2026-01-01,85400.0,2025-12-26,2026-01-01,2026-01-29,2025-12-26,85344.02,85300.0,85400.0,1,2025-12-26 09:30:00+05:30,2025-12-26 09:30:00+05:30,328.85,2026-01-01 15:15:00+05:30,0.2,True,True
SENSEX,L4,SELL,CE,2026-01-29,85300.0,2025-12-26,2026-01-01,2026-01-29,2025-12-26,85344.02,85300.0,85400.0,1,2025-12-26 09:30:00+05:30,2025-12-26 15:10:00+05:30,1097.85,2026-01-01 15:15:00+05:30,1049.4,True,True
SENSEX,L1,BUY,PE,2026-01-29,85300.0,2026-01-02,2026-01-08,2026-01-29,2026-01-02,85368.57,85300.0,85400.0,1,2026-01-02 09:30:00+05:30,2026-01-02 09:30:00+05:30,538.65,2026-01-08 15:15:00+05:30,1035.2,True,True
SENSEX,L2,SELL,PE,2026-01-08,85700.0,2026-01-02,2026-01-08,2026-01-29,2026-01-02,85368.57,85300.0,85400.0,1,2026-01-02 09:30:00+05:30,2026-01-02 09:30:00+05:30,419.95,2026-01-08 15:15:00+05:30,1523.25,True,True
SENSEX,L3,BUY,CE,2026-01-08,85400.0,2026-01-02,2026-01-08,2026-01-29,2026-01-02,85368.57,85300.0,85400.0,1,2026-01-02 09:30:00+05:30,2026-01-02 09:30:00+05:30,364.5,2026-01-08 15:15:00+05:30,0.3,True,True
SENSEX,L4,SELL,CE,2026-01-29,85300.0,2026-01-02,2026-01-08,2026-01-29,2026-01-02,85368.57,85300.0,85400.0,1,2026-01-02 09:30:00+05:30,2026-01-02 15:10:00+05:30,1274.25,2026-01-08 15:15:00+05:30,455.6,True,True
SENSEX,L1,BUY,PE,2026-01-29,84100.0,2026-01-09,2026-01-15,2026-01-29,2026-01-09,84113.54,84100.0,84200.0,1,2026-01-09 09:30:00+05:30,2026-01-09 09:30:00+05:30,540.05,,,True,False
SENSEX,L2,SELL,PE,2026-01-15,84500.0,2026-01-09,2026-01-15,2026-01-29,2026-01-09,84113.54,84100.0,84200.0,1,2026-01-09 09:30:00+05:30,,,,,False,False
SENSEX,L3,BUY,CE,2026-01-15,84200.0,2026-01-09,2026-01-15,2026-01-29,2026-01-09,84113.54,84100.0,84200.0,1,2026-01-09 09:30:00+05:30,,,,,False,False
SENSEX,L4,SELL,CE,2026-01-29,84100.0,2026-01-09,2026-01-15,2026-01-29,2026-01-09,84113.54,84100.0,84200.0,1,2026-01-09 09:30:00+05:30,2026-01-09 09:30:00+05:30,1110.0,,,True,False
SENSEX,L1,BUY,PE,2026-01-29,83600.0,2026-01-16,2026-01-22,2026-01-29,2026-01-16,83643.94,83600.0,83700.0,1,2026-01-16 09:30:00+05:30,2026-01-16 09:30:00+05:30,491.55,2026-01-22 15:15:00+05:30,1190.0,True,True
SENSEX,L2,SELL,PE,2026-01-22,84000.0,2026-01-16,2026-01-22,2026-01-29,2026-01-16,83643.94,83600.0,83700.0,1,2026-01-16 09:30:00+05:30,2026-01-16 09:30:00+05:30,566.4,2026-01-22 15:15:00+05:30,1701.0,True,True
SENSEX,L3,BUY,CE,2026-01-22,83700.0,2026-01-16,2026-01-22,2026-01-29,2026-01-16,83643.94,83600.0,83700.0,1,2026-01-16 09:30:00+05:30,2026-01-16 09:30:00+05:30,478.75,2026-01-22 15:15:00+05:30,0.35,True,True
SENSEX,L4,SELL,CE,2026-01-29,83600.0,2026-01-16,2026-01-22,2026-01-29,2026-01-16,83643.94,83600.0,83700.0,1,2026-01-16 09:30:00+05:30,2026-01-16 09:30:00+05:30,821.55,2026-01-22 15:15:00+05:30,158.5,True,True
SENSEX,L1,BUY,PE,2026-01-29,82400.0,2026-01-23,2026-01-29,2026-01-29,2026-01-23,82404.22,82400.0,82500.0,1,2026-01-23 09:30:00+05:30,2026-01-23 09:30:00+05:30,441.1,2026-01-29 15:15:00+05:30,0.3,True,True
